CardNumber,CategoryName,CategoryNameSEO,HeadingID,ItemNameSEO,LotsFound,SetName,SetNameSEO,SpecDescription,SpecID,SpecSubjectName,SportCategoryID,Variety,YearIssued
271,Basketball Cards,basketball-cards,118408,anthony-bennett,1,Panini Prizm,panini-prizm,"2013,Panini Prizm,271,Anthony Bennett,Prizm",2593895,Anthony Bennett,20019,Prizm,2013
271,Basketball Cards,basketball-cards,118408,anthony-bennett,3,Panini Prizm,panini-prizm,"2013,Panini Prizm,271,Anthony Bennett",2090414,Anthony Bennett,20019,,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,4,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Purple Die-Cut Prizm",2489974,Victor Oladipo,20019,Purple Die-Cut Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,35,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Prizm",2042618,Victor Oladipo,20019,Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,24,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Red White and Blue Mosaic Prizm",3504118,Victor Oladipo,20019,Red White and Blue Mosaic Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,4,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Blue Prizm",2068057,Victor Oladipo,20019,Blue Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,24,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Green Prizm",2162521,Victor Oladipo,20019,Green Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,19,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Red White and Blue Pulsar Prizm",2098041,Victor Oladipo,20019,Red White and Blue Pulsar Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,10,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Red Prizm",2098046,Victor Oladipo,20019,Red Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,8,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Light Blue Die-Cut Prizm",2222719,Victor Oladipo,20019,Light Blue Die-Cut Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,1,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Gold Prizm",2476396,Victor Oladipo,20019,Gold Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,1,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo,Orange Prizm",2552514,Victor Oladipo,20019,Orange Prizm,2013
276,Basketball Cards,basketball-cards,118408,victor-oladipo,374,Panini Prizm,panini-prizm,"2013,Panini Prizm,276,Victor Oladipo",2053846,Victor Oladipo,20019,,2013
281,Basketball Cards,basketball-cards,118408,otto-porter,2,Panini Prizm,panini-prizm,"2013,Panini Prizm,281,Otto Porter,Blue Prizm",2483378,Otto Porter,20019,Blue Prizm,2013
281,Basketball Cards,basketball-cards,118408,otto-porter,1,Panini Prizm,panini-prizm,"2013,Panini Prizm,281,Otto Porter,Red Prizm",2516140,Otto Porter,20019,Red Prizm,2013
281,Basketball Cards,basketball-cards,118408,otto-porter,14,Panini Prizm,panini-prizm,"2013,Panini Prizm,281,Otto Porter,Prizm",2378466,Otto Porter,20019,Prizm,2013
281,Basketball Cards,basketball-cards,118408,otto-porter,2,Panini Prizm,panini-prizm,"2013,Panini Prizm,281,Otto Porter,Orange Prizm",2421325,Otto Porter,20019,Orange Prizm,2013
281,Basketball Cards,basketball-cards,118408,otto-porter,6,Panini Prizm,panini-prizm,"2013,Panini Prizm,281,Otto Porter,Green Prizm",2059043,Otto Porter,20019,Green Prizm,2013
281,Basketball Cards,basketball-cards,118408,otto-porter,6,Panini Prizm,panini-prizm,"2013,Panini Prizm,281,Otto Porter,Red White and Blue Pulsar Prizm",2380128,Otto Porter,20019,Red White and Blue Pulsar Prizm,2013
281,Basketball Cards,basketball-cards,118408,otto-porter,19,Panini Prizm,panini-prizm,"2013,Panini Prizm,281,Otto Porter",2169167,Otto Porter,20019,,2013
281,Basketball Cards,basketball-cards,118408,otto-porter,1,Panini Prizm,panini-prizm,"2013,Panini Prizm,281,Otto Porter,Light Blue Die-Cut Prizm",2476581,Otto Porter,20019,Light Blue Die-Cut Prizm,2013
262,Basketball Cards,basketball-cards,118408,alex-len,4,Panini Prizm,panini-prizm,"2013,Panini Prizm,262,Alex Len",2597086,Alex Len,20019,,2013
285,Basketball Cards,basketball-cards,118408,nerlens-noel,12,Panini Prizm,panini-prizm,"2013,Panini Prizm,285,Nerlens Noel",2059460,Nerlens Noel,20019,,2013
285,Basketball Cards,basketball-cards,118408,nerlens-noel,1,Panini Prizm,panini-prizm,"2013,Panini Prizm,285,Nerlens Noel,Light Blue Die-Cut Prizm",2060790,Nerlens Noel,20019,Light Blue Die-Cut Prizm,2013
