,draft_year,pick_no,player_name
0,2013,1,Anthony Bennett
1,2013,2,Victor Oladipo
2,2013,3,Otto Porter Jr.
3,2013,4,Cody Zeller
4,2013,5,Alex Len
5,2013,6,Nerlens Noel
6,2013,7,Ben McLemore
7,2013,8,Kentavious Caldwell-Pope
8,2013,9,Trey Burke
9,2013,10,CJ McCollum
10,2013,11,Michael Carter-Williams
11,2013,12,Steven Adams
12,2013,13,Kelly Olynyk
13,2013,14,Shabazz Muhammad
14,2013,15,Giannis Antetokounmpo
15,2013,16,Lucas Nogueira
16,2013,17,Dennis Schröder
17,2013,18,Shane Larkin
18,2013,19,Sergey Karasev
19,2013,20,Tony Snell
20,2013,21,Gorgui Dieng
21,2013,22,Mason Plumlee
22,2013,23,Solomon Hill
23,2013,24,Tim Hardaway Jr.
24,2013,25,Reggie Bullock
25,2013,26,Andre Roberson
26,2013,27,Rudy Gobert
27,2013,28,Livio Jean-Charles
28,2013,29,Archie Goodwin
29,2013,30,Nemanja Nedović
30,2013,31,Allen Crabbe
31,2013,32,Álex Abrines
32,2013,33,Carrick Felix
33,2013,34,Isaiah Canaan
34,2013,35,Glen Rice Jr.
35,2013,36,Ray McCallum
36,2013,37,Tony Mitchell
37,2013,38,Nate Wolters
38,2013,39,Jeff Withey
39,2013,40,Grant Jerrett
40,2013,41,Jamaal Franklin
41,2013,42,Pierre Jackson
42,2013,43,Ricky Ledo
43,2013,44,Mike Muscala
44,2013,45,Marko Todorović
45,2013,46,Erick Green
46,2013,47,Raul Neto
47,2013,48,Ryan Kelly
48,2013,49,Erik Murphy
49,2013,50,James Ennis III
50,2013,51,Romero Osby
51,2013,52,Lorenzo Brown
52,2013,53,Colton Iverson
53,2013,54,Arsalan Kazemi
54,2013,55,Joffrey Lauvergne
55,2013,56,Peyton Siva
56,2013,57,Alex Oriakhi
57,2013,58,Deshaun Thomas
58,2013,59,Bojan Dubljević
59,2013,60,Jānis Timma
60,2014,1,Andrew Wiggins
61,2014,2,Jabari Parker
62,2014,3,Joel Embiid
63,2014,4,Aaron Gordon
64,2014,5,Dante Exum
65,2014,6,Marcus Smart
66,2014,7,Julius Randle
67,2014,8,Nik Stauskas
68,2014,9,Noah Vonleh
69,2014,10,Elfrid Payton
70,2014,11,Doug McDermott
71,2014,12,Dario Šarić
72,2014,13,Zach LaVine
73,2014,14,T.J. Warren
74,2014,15,Adreian Payne
75,2014,16,Jusuf Nurkić
76,2014,17,James Young
77,2014,18,Tyler Ennis
78,2014,19,Gary Harris
79,2014,20,Bruno Caboclo
80,2014,21,Mitch McGary
81,2014,22,Jordan Adams
82,2014,23,Rodney Hood
83,2014,24,Shabazz Napier
84,2014,25,Clint Capela
85,2014,26,P.J. Hairston
86,2014,27,Bogdan Bogdanović
87,2014,28,C.J. Wilcox
88,2014,29,Josh Huestis
89,2014,30,Kyle Anderson
90,2014,31,Damien Inglis
91,2014,32,K.J. McDaniels
92,2014,33,Joe Harris
93,2014,34,Cleanthony Early
94,2014,35,Jarnell Stokes
95,2014,36,Johnny O'Bryant
96,2014,37,DeAndre Daniels
97,2014,38,Spencer Dinwiddie
98,2014,39,Jerami Grant
99,2014,40,Glenn Robinson III
100,2014,41,Nikola Jokić
101,2014,42,Nick Johnson
102,2014,43,Edy Tavares
103,2014,44,Markel Brown
104,2014,45,Dwight Powell
105,2014,46,Jordan Clarkson
106,2014,47,Russ Smith
107,2014,48,Lamar Patterson
108,2014,49,Cameron Bairstow
109,2014,50,Alec Brown
110,2014,51,Thanasis Antetokounmpo
111,2014,52,Vasilije Micić
112,2014,53,Alessandro Gentile
113,2014,54,Nemanja Dangubić
114,2014,55,Semaj Christon
115,2014,56,Devyn Marble
116,2014,57,Louis Labeyrie
117,2014,58,Jordan McRae
118,2014,59,Xavier Thames
119,2014,60,Cory Jefferson
120,2015,1,Karl-Anthony Towns
121,2015,2,D'Angelo Russell
122,2015,3,Jahlil Okafor
123,2015,4,Kristaps Porziņģis
124,2015,5,Mario Hezonja
125,2015,6,Willie Cauley-Stein
126,2015,7,Emmanuel Mudiay
127,2015,8,Stanley Johnson
128,2015,9,Frank Kaminsky
129,2015,10,Justise Winslow
130,2015,11,Myles Turner
131,2015,12,Trey Lyles
132,2015,13,Devin Booker
133,2015,14,Cameron Payne
134,2015,15,Kelly Oubre Jr.
